Acc	UGCluster	LLID
BC013246	Hs.3100	3735
BC001225	Hs.139896	10296
BC044862	Hs.349110	4485; 11223
BC019236	Hs.549038	3105
BC002578	Hs.381008	3133
BC062991	Hs.519972	3134
BC011447	Hs.351279	3108
BC015715	Hs.279474	23609
BC012367	Hs.201083	114569
BC001484	Hs.526521	4190
BC033002	Hs.446125	4117
BC039724	Hs.89983	5648
BC032763	Hs.7835	9902
BC069338	Hs.499674	4153
BC000736	Hs.356769	4125
AY048774	Hs.533323	79694
AB040910	Hs.497806	4139
BC040484	Hs.82548	8567
BC066915	Hs.75061	65108
BC002600	Hs.6917	4515
BC002713	Hs.102402	10608
AK000062	Hs.369586	54799
BC013285	Hs.389037	8888; 114044
BC062316	Hs.435947	64783
BC000114	Hs.515069	4145
BC051269	Hs.102406	79083
AB046854	Hs.486189	260425
BC074800	Hs.386748	2206
BC011778	Hs.204773	79084
BC017021	Hs.527007	4223
BC053650	Hs.173043	9219
BC018359	Hs.282670	4143
BC013782	Hs.444986	10988
BC000550	Hs.42957	4234
BC000505	Hs.191734	4259
BC065499	Hs.319481	23139
BC010470	Hs.194301	4130
BC053626	Hs.27695	4281
BC000875	Hs.269944	23788
BC049210	Hs.518355	85476
BC010416	Hs.311190	64928
BC013685	Hs.55041	51069
AV711404	Hs.503047	219927
BC012565	Hs.483924	29093
BC001066	Hs.7736	51264
BC013147	Hs.50252	64983
BC015905	Hs.421848	84545
BC032522	Hs.283734	57129
BC032008	Hs.288224	54534
BC014329	Hs.55847	51258
BC004566	Hs.405880	54460
